School,lon,lat
樱花园实验学校小学部教学楼,116.420219,39.97472
博文学校,116.492847,39.844103
国美家园小学,116.513515,39.935584
陈经纶中学分校实验小学部,116.514724,39.974792
人大附中朝阳学校小学部,116.437856,39.98612
安民学校,116.497551,39.945854
日坛小学四惠校区,116.505629,39.910164
十八里店小学,116.48102,39.849233
北京市朝阳外国语学校,116.404133,39.999863
朝阳外国语学校小学部,116.381202,39.999931
花家地实验小学朝来校区,116.434845,40.037448
高碑店中心小学,116.522852,39.904091
对外经济贸易大学附属小学,116.420986,39.978967
平房中心小学,116.537117,39.937014
一七一中学朝阳豆各庄分校小学部,116.563163,39.859925
北京市朝阳区老君堂小学,116.5134,39.841901
朝阳师范学校附属小学,116.422112,39.965923
北京第二外国语学院附属小学定福分校,116.570445,39.917856
白家庄小学(汇景苑校区),116.536282,39.955557
北京市朝阳外国语学校(北苑分校),116.430717,40.026642
中国音乐学院附属北京实验学校安慧里校区低年级部,116.411752,39.99001
清华大学附属小学商务中心区实验小学,116.441702,39.90495
首都师范大学附属朝阳实验小学(金蝉南校区),116.508876,39.863026
北京市陈经纶中学分校小学部,116.461147,40.008985
呼家楼中心小学(本部),116.467069,39.920619
白家庄小学(朝外校区),116.436671,39.927315
北京化工大学附属中学小学部(小关校区),116.41524,39.980384
北京和平街第一中学小学部清友园校区,116.42722,40.039918
北京精诚实验小学国际部,116.383128,39.979576
花家地实验小学,116.4673,39.983044
北京市第八十中学枣营分校,116.471749,39.946805
北京第二外国语学院附属小学,116.59519,39.913487
东城区汇文实验小学朝阳学校,116.45665,39.869682
金色摇篮全程实验学校,116.405259,40.007829
中国科学院附属实验学校,116.385086,39.996993
北京市朝阳区外国语小学二部,116.403878,39.996105
芳草地国际学校民族校区,116.437455,39.917678
呼家楼中心小学(南校区),116.469044,39.914774
金地实验学校,116.514936,39.842339
北京市东方德才学校(小学部),116.484038,39.922156
北京明远教育书院实验小学,116.461904,39.998014
北京朝阳区兴隆小学,116.524791,39.911821
南湖中园小学望花路校区,116.472307,39.988476
星河双语学校,116.461264,39.861554
北京第二实验小学朝阳学校,116.485621,39.895556
清华大学附属小学商务中心区实验小学,116.454622,39.906766
朝阳师范学校附属小学,116.451952,39.973129
朝阳区师范学校附属小学和平街分校北校区,116.426278,39.96593
首都师范大学附属朝阳实验小学翠南校区,116.505073,39.853876
中国音乐学院附属北京实验学校(北辰绿色家园校区),116.411343,40.027428
星河实验学校,116.522103,39.922189
朝阳区实验小学(润泽校区),116.432634,40.05459
北京精诚实验小学,116.426325,39.964527
北京朝阳外语小学,116.412135,39.970912
白家庄小学,116.471641,39.997652
芳草地国际学校日坛校区,116.448528,39.91827
中央商务区实验学校,116.477273,39.909803
3e国际学校小学部,116.529837,40.025933
芳草地国际学校,116.434098,39.991302
北京教育学院朝阳分院附属学校小学部,116.485622,39.913377
朝阳实验小学(体育场路校区),116.449374,39.926512
北京世青国际学校,116.448607,40.027337
北京市朝阳区实验小学福源分校,116.45506,39.955254
北京陈经纶中学保利小学南校区,116.59469,39.923571
朝阳区实验小学,116.459602,39.830046
北京市劲松第四小学,116.44928,39.881039
大武基实验文武学校,116.513675,39.846367
青苗国际双语学校(常营校区),116.577168,39.933246
石佛营小学,116.498549,39.933396
芳草地国际学校(慈云分校),116.493853,39.917197
中央美术学院附属实验小学,116.488732,39.987581
白家庄小学迎曦分校东校区,116.503728,39.93374
首都师范大学朝阳小学,116.592594,39.979799
北苑小学,116.429992,40.027992
芳草地国际学校(东洲校区),116.462581,40.044544
朝阳师范学校附属小学和平街分校南校区,116.42991,39.961608
朝阳区实验小学(新源里分校),116.446598,39.947078
朝阳区实验小学(左家庄分校),116.44212,39.953596
朝阳实验小学(柳芳校区),116.436904,39.955644
北京明远教育书院实验小学(青年城校区),116.43732,40.029832
官庄小学,116.508431,39.87699
中国科学院附属实验学校(南沙滩学部),116.375838,39.996534
朝阳区第二实验小学双桥校区(高部),116.577077,39.896376
二外附中瑞祥民族小学部,116.613675,39.91086
THE BRITISH SCHOOL OF BEIJING SANLITUN,116.453614,39.944579
八里桥小学,116.616947,39.913975
柏阳学校,116.553066,39.873095
垂杨柳中心小学金都分校低部,116.500639,39.894702
首都师范大学附属朝阳实验小学(金蝉北校区),116.510902,39.865189
朝阳外国语学校(来广营校区),116.438539,40.048563
北京市朝阳区同心实验学校,116.633949,39.991078
中国传媒大学附属小学(低部),116.545961,39.916712
清华大学附属小学CBD实验小学(二校区),116.44168,39.904336
中央商务区实验学校小学部,116.47728,39.90982
朝阳区第二实验小学管庄校区(低部),116.585487,39.915142
朝阳区第二实验小学管庄校区,116.592336,39.915753
中央商务区实验学校,116.477186,39.903435
